Segnala il PFS mancante!!::::00
TOH_1/11e32::Corso Torino 11, Rivoli [45.07485059, 7.52443641]
TOH_1/11e33::Via Louis Pasteur 21, Rivoli [45.07361580, 7.52095352]
TOH_1/11e34::Via Louis Pasteur 7, Rivoli [45.07214011, 7.52087714]
TOH_1/11e41::Via Isonzo 11, Rivoli [45.07961622, 7.51337901]
TOH_1/11e42::Via Abramo Lincoln, Rivoli [45.08027503, 7.51477641]
TOH_1/11e43::Via Ciamarella 5, Rivoli [45.08181969, 7.51523390]
TOH_1/11e44::Via Alpignano 85, Rivoli [45.08137211, 7.51806277]
TOH_1/11w11::Via Edoardo Baldi, Rivoli [45.06329594, 7.52783395]
TOH_1/11w12::Via Edoardo Baldi, Rivoli [45.06531133, 7.52773426]
TOH_1/11w13::Via Luigi Gatti 26, Rivoli [45.06643498, 7.52504416]
TOH_1/11w14::Via Primo Maggio 31, Rivoli [45.06949186, 7.52503826]
TOH_1/11w21::Via Melchiorre Gioia 15, Rivoli [45.06867094, 7.51942503]
TOH_1/11w22::Via Rombò 32, Rivoli [45.06906115, 7.51813753]
TOH_1/11w23::Vicolo Castagnevizza 2, Rivoli [45.06837594, 7.51799866]
TOH_1/11w24::Via Camillo Benso di Cavour 22, Rivoli [45.06787236, 7.52308936]
TOH_1/11w31::Via Louis Pasteur 7, Rivoli [45.07216190, 7.52068461]
TOH_1/11w32::Via Trieste, Rivoli [45.07174465, 7.52315185]
TOH_1/11w33::Piazza Principe Eugenio, Rivoli [45.06940344, 7.52159944]
TOH_1/11w34::Via Camillo Benso di Cavour 9, Rivoli [45.06806528, 7.52186589]
TOH_1/11w41::Via Giorgio Vecco 39, Rivoli [45.07440584, 7.51881103]
TOH_1/11w42::Via Tenda 16, Rivoli [45.07373538, 7.51959154]
TOH_1/11w43::Via Trieste 2, Rivoli [45.07206352, 7.52060960]
TOH_1/11w44::Via Lucia Savarino 14, Rivoli [45.07231966, 7.51914792]
TOH_1/12e11::Via San Gregorio Magno, Collegno [45.07112002, 7.60011719]
TOH_1/12e12::Via Crimea, Collegno [45.07230741, 7.60154197]
TOH_1/12e13::Via Podgora 16, Collegno [45.07217806, 7.60212663]
TOH_1/12e14::Via Macedonia 10, Collegno [45.07314824, 7.60351881]
TOH_1/12e21::Via Castagnevizza 27, Collegno [45.07139264, 7.59696705]
TOH_1/12e22::Via Maria Montessori, Collegno [45.07242696, 7.59706767]
TOH_1/12e23::Via Pasubio, Collegno [45.07228191, 7.59886140]
TOH_1/12e24::Via Pasubio, Collegno [45.07317992, 7.59878905]
TOH_1/12e31::Via Torino, Collegno [45.07319769, 7.59397330]
TOH_1/12e32::Via Castagnevizza, Collegno [45.07336871, 7.59725348]
TOH_1/12e33::Corso Francia 84, Collegno [45.07386506, 7.59766749]
TOH_1/12e34::Via Alessandro Manzoni, Collegno [45.07473062, 7.59756820]
TOH_1/12e41::Via Edmondo De Amicis, Collegno [45.07620963602878, 7.5895802093165985]
TOH_1/12e42::Via Vittorio Sassi, Collegno [45.07825860815866, 7.594435341268098]
TOH_1/12e43::Via Teresio Pochettino, Collegno [45.075748821152715, 7.5959219484155085]
TOH_1/12e44::Via Alessandro Antonelli, Collegno [45.07388466124732, 7.595340391448433]
TOH_1/12w11::Via Zara, Collegno [45.07325659, 7.56542533]
TOH_1/12w12::Corso Francia, Collegno [45.07267627, 7.56668961]
TOH_1/12w13::Via Alfonso Lamarmora, Collegno [45.07384237, 7.56916386]
TOH_1/12w14::Via Giacomo Brodolini, Collegno [45.07349299735591, 7.569925928322873]
TOH_1/12w21::Via Borgone, Collegno [45.07972330787529, 7.5609168181080175]
TOH_1/12w22::Via Villar Focchiardo, Collegno [45.08065631, 7.55913386]
TOH_1/12w23::Via Borgone, Collegno [45.07987498, 7.56465950]
TOH_1/12w24::Via Salbertrand, Collegno [45.07822645, 7.56476144]
TOH_1/12w31::Via Claviere, Collegno [45.07666579171326, 7.565130282795156]
TOH_1/12w32::Piazza Pablo Neruda, Collegno [45.07903990853653, 7.568325130289083]
TOH_1/12w33::Via Piero Gobetti 43, Collegno [45.07672470667502, 7.568218346452582]
TOH_1/12w34::Via Piero Gobetti 43, Collegno [45.0766347780529, 7.568902046181878]
